llm_summary,LABEL
 - Partner Portal issue. - Customer services were to resume on 10/10/2022 per order A00111165. - Account is still paused. - Request to resume customer services on 10/13/2022.,address correction
 A customer who usually gets invoiced on the 10th of every month was charged on July 5th. They gave a low NPS score because the agent couldn't explain the change in payment date. (P-00550917),address correction
" A customer is facing issues activating their service and removing it from pause status. The available resume date on the calendar is October 27th, while the customer needs it activated by October 9th or 10th. Salesforce records indicate the service was paused on July 9th, 2022, which exceeds the allowed duration for pause. Assistance is requested to resolve this issue promptly as the customer has been waiting for over a week.",address correction
 Salesforce BIWF Access Deactivation Request (INC5034750),address correction
 Car with code A00415823 won't start.,address correction
 Customer is unable to pause the service through Partner Portal as it reconnects automatically.,address correction
" A customer named Frank attempted to pause his service on May 20th, but his account is still active and he was charged for July. He wants this resolved as soon as possible and refers to a previous case (00369176) with information about his pause request. He intended to pause his service from May 20th to October 15th.",address correction
 Customer is unable to lease 360 WiFi due to being forced to logout when selecting the 360 WiFi option on the shop portal.,address correction
 Customer lacks Orch plan. Order A00705117 is ready to submit but lacks Orchestration Plan.,address correction
 A fiber order (A00696680) is fatally failed at two steps: "WO and SA Updates" and "O2 Service Order Assign." This is causing orchestration errors and preventing the order from processing successfully. The Salesforce Customer Account URL is provided for reference.,address correction
 - Wo & SF Purchased Data Rate is missing. - Customer order is 940mbps for $75. - Need Purchased Data Rate on SF and WO02712195.,address correction
 Fiber Internet Ordering impacted due to Manage Portal issue. Customers with available service are unable to place orders on Q.com as the portal indicates service is unavailable.,address correction
 OP stuck at step "HSI Fiber Installation Completed" since 9/17/23 due to missing sales force Territory Identification from customer account.   Customer Account URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000MVpUrIAL/view,address correction
 Fiber Internet Ordering and Duplicate DTN.,address correction
 - Tiffani encountered issues while processing payment on a website. - She attempted multiple times using different browsers and incognito tabs. - The website restricts her from changing her payment method. - Tiffani needs to resolve this issue promptly due to urgent work requirements.,address correction
 Disconnect order can't be created due to duplicate DTN conflict. Two accounts are at the same location. One account (Cindy) needs to be disconnected so the other account (Amanda) can be activated. The disconnect order on A00392371 was set to disconnect but was canceled. Submitting deactivation doesn't generate a new order. Need to get the disconnect order and close the account so the new account can be activated.,address correction
 Customer requesting account cancellation due to relocation.,address correction
" A Zuora system performance issue (Work Order: 03740232, Case Number: 02199134) has been identified where the system is creating duplicate legacy disconnect cases. These cases are unnecessary as the legacy disconnect had already occurred on December 1st. Additional examples of duplicate cases include 02218852, 02221643, and 02231994.",address correction
 Duplicate DTN 1500226107 found for multiple customers with same service address but different unit numbers. This is impacting Fiber Internet Ordering.,address correction
" **Summary:**  Customer reported an issue accessing their account on q.com to pay their bill. The page displayed an error message indicating the page was missing or broken. The customer attempted to reset their password but faced the same issue. It's worth noting that the account is migrated and currently in a suspended status.  **Key details:**  - Function Impacted: QF: Manage Portal - Issue Category: QF: Manage Portal - Case Number: 02674850 - Customer attempted to access q.com to pay bill - Error message: ""We're sorry, this page is missing or broken. Try again later."" - Password reset unsuccessful - Account is migrated and currently suspended - SFDC Cx Acct URL provided",address correction
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Case Number**: 01622552 **Summary**: Customer is unable to sign up or activate instant internet.,address correction
 Unable to add additional pods. Failed to load Salesforce Customer Account URL.,address correction
 **Function Impacted**: Salesforce agent UI **Issue Category**: QF: SOM orchestration error **Details**: O2 Service Order Assign step initially failed but is now complete. OP stuck on step "HSI Fiber Installation Completed" since 10/03/23.,address correction
 A customer is unable to update their credit card information in the Partner Portal. The issue is related to billing and payment. The work order number is 01773773 and the case number is 01624792.,address correction
" Order status is not in a completed state on multiple accounts in CDW, impacting sales and compensation. The issue is due to incorrect order data being retrieved from Salesforce_FIBER.ORDERS table. Around 120 orders in February are affected. E2E team is requested to assist in scripting and cleanup efforts.",address correction
 Function Impacted: Partner Portal Issue Category: All Other Issues Issue: Duplicate DTN issues,address correction
 The customer is requesting to cancel four duplicate orders:  - Order # SA-12243366 - Order # SA-12243365 - Order # SA-12243364 - Order # SA-12243363  The customer is unable to cancel the orders through the system and has attached a screenshot of the error.,address correction
" A customer is unable to upgrade their internet speed to 940mbps because the blue submit order button is not appearing. The customer has updated their payment information, but it is still not showing up when trying to upgrade their speed. The customer's account URL is provided for reference.",address correction
 Fiber Internet Ordering issue: Customers can't sign up for services despite their building being wired and on QF.,address correction
 Customer is unable to order connected voice due to an agreement issue. They are unable to find a way to agree to the terms when downloading the PDF file for review. The issue is preventing the customer from placing an order for connected voice to their account.,address correction
 **Function Impacted**: Partner Portal **Issue Category**: QF: Manage Portal **Work Order**: None **Case Number**: 01605992 **Summary**: Unable to reset password.,address correction
 Customer migrated to new account numbers.,address correction
 Function Impacted: Instant Internet Ordering Issue: Unable to Sign up for Instant Internet,address correction
 **Summary:**  - Customer requested a disconnect on 02/17/2024 (deactivation Case 02435611). - No A order generated for the disconnect. - Request to disconnect the account and roll it to closed status. - Provided SFDC Cx Acct URL for reference.,address correction
 **Function Impacted:** Partner Portal **Issue Category:** Billing/Payment **Work Order:** A00259121 **Case Number:** 01263532  **Summary:** The account should be paused and resumed on 12/27/2023.,address correction
" - Function Impacted: Q.com/Buy Flow - Issue Category: All Other Issues - Work Order: 05505699 - Case Number: 02765969  Customer placed an order for service at 7707 W 54TH AVE ARVADA CO UNIT 208. However, the system changed the address to 7707 W 5TH AVE LAKEWOOD CO USA 80226. The customer noticed the incorrect address when checking the appointment details. A field technician was called to rectify the issue.",address correction
 Pod Amendment CommsFatally Failed,address correction
 Function Impacted: All Other Issues Work Order: 05165576,address correction
 Function Impacted: Fiber Internet Ordering Issue Category: All Other Issues Work Order: A00411082 Case Number: 01668674  Summary: Duplicate DTN issue. Request to assign a new BTN.,address correction
" A Smart NID issue caused the ROP feature to malfunction. Smart NIDs should remain active, and a CICHG should be created for new customers. A CIDIS was mistakenly created for a previous customer who had disconnected their service.",address correction
 **Summary:**  - Function impacted: Instant Internet Ordering - Issue category: QF: Manage Portal - Case number: 01667524 - Problem: Unable to activate service,address correction
 Function Impacted: Fiber Internet Ordering Issue Category: All Other Issues Work Order: 03361213 Case Number: 01816527  Summary: Change snid cache to eligible/dupe dtn.,address correction
 **Summary:** Customer cancelled a disconnect order but was still charged a non-return equipment fee.,address correction
 Equipment tracking populates and customer gets charged for non return fee after cancellation of disconnect order.,address correction
" Function Impacted: Tech FSL, Issue Category: QF: SOM Case Number: 01804033 is a duplicate of DTN SmartNid enabled Duplicate DTN: 1500216175",address correction
 Burr Johnson is unable to process an order for 360 Wi-Fi pods due to missing assets. The assets are needed to complete the orchestration plan.,address correction
 Salesforce agent UI is impacted due to ServiceAppointmentTrigger issue. The AfterUpdate execution failed because of System.DmlException. The root cause is the absence of Reason Code when the Status is Canceled.,address correction
 Customer is unable to pay their bill due to an error message indicating the page is missing or broken. The affected account has been migrated and is currently suspended.,address correction
" - Function impacted: Fiber Internet Ordering - Issue category: All Other Issues - Work order: A00357284 - Summary: Account order linked to another account, causing a DTN cache issue.",address correction
" Lluvia, a customer, is experiencing issues while trying to make a payment using a new card on the Partner Portal. The system keeps attempting to deduct the payment from the old card (ending in 5264, expiring in 04/2025) instead of the new card (ending in 9663, expiring in 01/2025). Lluvia has already verified with her bank, and there are no issues with the new card. She requests assistance in changing the payment source from the old card to the new card and adjusting the payment amount accordingly.",address correction
 Function Impacted: None Issue Category: All Other Issues Work Order: Not Applicable,address correction
 Fiber internet order for the customer is stuck on "Pending Activation" status even though the installation is complete. The customer account status needs to be updated to "active" as of 9/21/23.,address correction
 A disconnect order is preventing an account from being activated. The order needs to be completed so the account status can be updated.,address correction
 Salesforce agent UI is impacted due to invalid trigger of return.,address correction
" Quantum Fiber is erroneously sending payment overdue emails to a customer who is still in the process of migrating to their services. The customer's account is marked as ""Do Not Touch,"" and the first Quantum Fiber payment is not due until January 2, 2024, as per Salesforce records. This mistake is causing a negative customer experience and needs to be rectified.",address correction
 Partner Portal is impacted. Work order 01313825 and case number 01313825 are affected. The issue is that the account shows pending activation instead of active.,address correction
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal **Summary**: The Instant Internet Ordering function is impacted due to an issue with the Manage Portal site being unreachable.,address correction
 **Summary:** Customer is unable to order connected voice service due to missing option in the portal. Further investigation is required.  **Key Details:** - Function Impacted: Connected Voice Option Missing - Issue Category: QF: Manage Portal - Work Order: NA - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7iVdIAJ/view,address correction
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal Unable to Sign up to activate.q.com,address correction
 Salesforce agent UI is impacted. A user is unable to cancel the service through the Manage Portal. Case number is 01600397.,address correction
" Fiber Internet Ordering impacted. Duplicate DTN case number 01559304 1500148931 needs associating with unit 3, not unit 1, due to a Smartnid cache issue. Another issue is that the customer DTN is linked to a different account (Maya Moller / A00386566).",address correction
" **Summary:**  Customer is unable to log in to the cx portal at q.com to update payment information and restore internet service. The issue persists despite attempts to reset the password, use a private browser, clear history, and try different search engines. The account is a migrated account and is currently suspended.",address correction
 **Function Impacted**: Dispatch FSL **Issue**: OP failed at step "Check with SQE for the address Id" **Details**:  - Tech dispatched with no facilities and no DTN. - Orchestration Plan failed at step "Check with SQE for the address Id" as of 9/18/23. - SFDC cx acct URL: https://ctl-fiber.lightning.force.com/lightning/r/vlocity_cmt__OrchestrationPlan__c/a4pDo000001asD5IAI/related/vlocity_cmt__OrchestrationItems__r/view?ws=%2Flightning%2Fr%2FAccount%2F001Do00000MVqPXIA1%2Fview,address correction
 Fiber Internet Ordering impacted due to duplicate DTN (1500190352) with different customers. Same Service Address but different Unit number.,address correction
" Salesforce agent UI is impacted due to orchestration failure at ""Send Order Confirmation Email"" node in work order 03136390. After retrying, DTN and relevant information were populated in service delivery.",address correction
" **Function Impacted**: Instant Internet Automation Tool **Issue Category**: Customer Signup **Case Numbers**: 02722413 & 02714908 **Summary**: Customers are unable to complete the sign-up process for internet service at activate.q.com. When they reach the payment page, the order does not complete and they are redirected back to the main setup portal.",address correction
 Function impacted: Salesforce Issues Issue category: System Performance Work order: 05225702,address correction
" Deactivation case 01681469 is hung up. The associated work order A00375869 is completed, and the 360 wifi was supposed to be removed. However, the customer account is still showing as ""active"" instead of ""closed"". Please investigate.",address correction
" The Instant Internet Ordering function is impacted due to an issue with the ordering site at activate.q.com. As a result, users are unable to place instant internet orders. A Salesforce case with the number 01631902 has been created for this issue. For more details, refer to the Salesforce case URL provided.",address correction
" **Function Impacted**: Salesforce agent UI **Work Order**: A00393795 **Case Number**: 01485532  **Issue**: Order completed, but account status needs to be changed to Active. OP failed at step ""Rollback - Disconnect to Plume"".",address correction
" **Function Impacted**: QF: Manage Portal **Issue Category**: Can't order an extra POD page **Work Order**: 02613769 **Case Number**: 02613769 **Error Message**: ""Looks like we ran into a problem, failed to load. Please clear this error."" **URL**: https://ctl-fiber.lightning.force.com/lightning/r/Account/0013j00003Fi6Z1AAJ/view",address correction
 Function impacted: Instant Internet Ordering Issue category: QF: Manage Portal Case number: 01606017 Summary: Unable to access activate.q.com,address correction
 Function impacted: Instant Internet Ordering Issue category: QF: Manage Portal Case number: 01622396 Summary: Unable to reset QF account password,address correction
" Multi-gig speeds are incorrect on the Speeds page of quantumfiber.com for the address 1108 GRAND AVE, GRAND JUNCTION, CO 815012. The correct speeds for a multi-gig address should be 500M, 1G, 3G, 8G, but the page is showing incorrect speeds of 500M, 940M, 1G, 3G.",address correction
 SmarNID Status Enabled without install,address correction
 - Customer's account is on Pending Activation due to a system error. - Mobility Remarks: Customer was built under the wrong CID on 10/30. - Quantum Fiber advised the customer to cancel the account and reissue new facilities. - The account has a duplicate DTN with an Active account (DTN: 1500212389).,address correction
 Fiber Internet Ordering impacted due to SOM 'SNID Status enabled without install'. Duplicate DTN: 1500215272.,address correction
 Customer is unable to make a payment on q.com due to scrolling issues on his phone and a redirecting error on his work computer.,address correction
" **Function Impacted:** Salesforce agent UI **Issue Category:** All Other Issues **Work Order:** 03203286 **Summary:** Orchestration failure at ""Send Order Confirmation Email"" node. After retrying, DTN and relevant information populated in service delivery. ""FDH"" and ""Splitter, Port"" information did not copy over correctly and had to be adjusted.",address correction
 Customer migration to QF failed due to a technical issue. Customer service can be reached at 1-999-999-999 for assistance.,address correction
 - Deactivation order A00209250 due on 12/13/2022 1:00 AM is still in progress. - Request to ensure the order completion and account closure.,address correction
" The Orchestration Plan is stuck on ""Wait for ECD"" due to a mismatch in Polygon status between Quantum Fiber Salesforce and Uniqual. While Salesforce shows the Polygon status as ""in construction"", Uniqual indicates it as ""in service"". This discrepancy prevents the plan from progressing.",address correction
" A customer reported an issue with their account where they can log in but are unable to perform any actions after logging in. The issue persists across multiple devices, including an iPhone and a laptop. The customer sees a blank box with refresh and back options. This issue is related to a previously closed incident (INC6312348SFDC). The affected account URL is provided as https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7CCoIAN/view.",address correction
 Customer wants to cancel their account. An unhandled fault has occurred while processing the request. Please contact the system administrator for more information.,address correction
" Address: 8724 COLUMBUS AVE S, BLOOMINGTON, MN 55420 Issue: Not receiving ACP offers Update: This issue was investigated and determined not to be the cause. This address is not eligible for ACP offers.",address correction
 Function Impacted: Equipment Update smart Nid Issue Category: QF,address correction
" Fiber Internet Ordering issue. Work Order: SA-12154912, Case Number: 01796257. Duplicate DTN: 1500202376.",address correction
" Function impacted: Instant WiFi Ordering Issue category: QF: Manage Portal Case number: 01689485 Error: Page displays ""We are sorry this page is broken, here are some other links you may find helpful"" SFDC Case URL: https://ctl-fiber.lightning.force.com/lightning/r/Case/500Do00000DLZbGIAX/view",address correction
 A customer named Debra is facing an issue while trying to change the date of her paused service to 10/05 using the Partner Portal. The portal is not allowing her to select a previous date for the change.,address correction
 Fiber Internet Ordering is impacted due to system performance issues. Work Order A00445660 has been created to address the issue. The issue is related to duplicate DTN 1500219408 and requires clearing the cache at the smart node.,address correction
" **Function Impacted**: Salesforce agent UI **Issue Category**: QF: Manage Portal Orchestration plan frozen **Details**: The plan is stuck running and has not completed, causing the account to be stuck and not completing disconnect.",address correction
 **Summary:**  - Fiber Internet Ordering impacted. - Issue Category: QF: SOM. - Case Number: 01790930. - SNID status enabled without installation. - Duplicate DTN: 1500062310.,address correction
 **Function Impacted**: Salesforce agent UI **Issue**: OP frozen/running at step "HSI Fiber Installation Completed" for A00451816 **Work Order**: 03225343 **SA Number**: SA-12029613 **Additional Details**:  - Order is in jeopardy - Cannot cancel SA-12029613 **URL**: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000MX5bGIAT/view,address correction
" - Customer ordered additional PODs: ET#0000004206, ET#0000004055, ET#0000004054. - Last step in orchestration failed, equipment not shipping. - Customer needs additional PODs as soon as possible. - Concierge Mental Health Counseling Services, PLLC. - DTN: 1500038187",address correction
 **Function Impacted:** Salesforce agent UI **Issue Category:** Billing/Payment **Work Order:** None **Case Number:** 01791049 **Summary:** Second suspension case created after restoration.,address correction
" Fiber Internet Ordering issue reported, Case Number: 01339486. SNID status is enabled despite not being installed.",address correction
 Customer is unable to remove the pause mode on their fiber internet account through the website.,address correction
 A technician was unable to complete an installation due to missing documentation and an unassigned DTN. An order was created but no OP exists.,address correction
 Fredy Duran is unable to receive email confirmation for his order of two extra Pods.,address correction
" An existing service customer at 5223 5TH ST W LEHIGH ACRES FL USA 33971 resubscribed through a QR code. However, the order is requesting both an installation and a site check, which is incorrect. Please rectify this issue.",address correction
" Salesforce agent UI is impacted. Two accounts exist under this DTN, one active and one pending.",address correction
 **Summary:** Smartnid status enabled without installation.,address correction
" Customer on a 200 Mbps plan can only see the 940 Mbps upgrade option, while the 500 Mbps upgrade is missing. The customer is unable to upgrade to a 500 Mbps/500 Mbps plan and is only given the option to upgrade to a 940 Mbps/940 Mbps plan.",address correction
" Zuora Subscription Activation is in Fatally Failed state. Despite this, the plan is in progress, the order is completed, and the account is active. This incident was raised at the request of Michele McKee.",address correction
 Equipment A00324987 is stuck at Ready to Submit.,address correction
 - Function impacted: SOM - Issue category: QF: SOM - Customer cannot create an instant internet account - Deactivation case still showing active in Salesforce - Unable to place account in set up,address correction
 Cx is unable to downgrade their migrated account to a 200M plan. The customer is receiving an error when attempting to downgrade. There are currently no A orders or assets on the customer's account. It is unclear if this is causing the error or if it is a migration-related issue.,address correction
 Equipment ordering system is encountering an error when ordering a new pod. The error occurs at the step "ZouraAutopayDeactivate". The issue has been reported and the support team is investigating.,address correction
" 2099 was cleared, but Order A remains in jeopardy status. Please remove it from jeopardy status.",address correction
" The user encountered an error (03111943) while attempting to cancel a work order. The error is related to an attempt to update the 'Pending Reschedule Due Date' field after the work order status has been completed or canceled. The specific error message is: 'FIELD_CUSTOM_VALIDATION_EXCEPTION, Pending Reschedule Due Date cannot be updated after status completed or canceled'. The error occurred in the 'WorkOrderTriggerHandler.AfterUpdate' class, line 1410, column 1, when the 'TriggerDispatcher.Run' class, line 35, column 1, was triggered by the 'WorkOrderTrigger' trigger, line 16, column 1.",address correction
 INC5276809: Migration issue. Customer opted in. Address/Qualification issue. Customer is out of service.,address correction
 - Duplicate DTN: 1500088860 - Assignee: James MacKenzie - Related Repair Ticket: Amir Rang,address correction
 Duplicate DTN created in SQE. Cache needs to be cleared to create alternate DTN.,address correction
 Duplicate DTN smartnid should not be enabled in fiber internet ordering.,address correction
" Dispatch FSL impacted, issue category: All Other Issues. Duplicate DTN: 1500209520.",address correction
 Salesforce agent UI impacted due to orchestration failure at "Send Order Confirmation Email" node. DTN and relevant information populated in service delivery after retrying.,address correction
 Function Impacted: Instant Internet Ordering Issue Category: QF: Manage Portal Case Number: 01602670 Summary: Customer is unable to sign up for instant internet.,address correction
 A SOM orchestration error is preventing a replacement pod from shipping for work order A00723291. The order is stuck at the "SOM Order Status Update" step. Processing this step is necessary for the order completion and shipment of pods to the customer.,address correction
" **Summary:**  Fiber internet order impacted due to missing DTN. Orchestration plan incomplete, ECD running but unable to proceed. OP stuck at ""Wait for ECD"" step since 9/10/23. Investigation requested. Refer to the provided Salesforce Cx Account URL for more details.",address correction
 Salesforce agent UI is impacted by a system performance issue. The work order number is A00346077 and the case number is 01413739. This is a duplicate of DTN.,address correction
 **Function Impacted**: Fiber Internet Ordering **Issue Category**: QF: Manage Portal **Problem**: Customer is unable to sign up for service using QR code and activate.q.comSFDC Cx Lead URL  **URL**: https://ctl-fiber.lightning.force.com/lightning/r/Lead/00QDo00000COvhoMAD/view,address correction
" Two customer accounts need to be merged, and the shell account should be deleted.",address correction
 **Summary:**  - Customer is unable to sign up for service on the CTL Fiber portal. - Case number: 01689872 - URL: https://ctl-fiber.lightning.force.com/lightning/r/Case/500Do00000DLZwaIAH/view,address correction
 Plan0444590 is stuck at "update O2-migration" fatally failed. Migration order in optius 9529206664 shows canceled.,address correction
 A customer reported an issue with Fiber Internet Ordering. The issue is related to the status of a Dup DTN SNID being enabled without installation. The case number associated with this issue is 01828944.,address correction
 A customer is unable to downgrade their fiber internet service through the online portal.,address correction
 The smartnid status remained as Eligible and failed to switch to Enabled when the account became active.,address correction
" **Summary:**  Customer is unable to order Connected Voice while logged in to their account profile. The issue occurs when they try to shop for services after logging in, as the website redirects them to order internet services instead of allowing them to add Connected Voice.  **Key Details:**  - Customer is logged in to their account profile. - When they try to shop for services, they are redirected to order internet services. - They are unable to add Connected Voice to their account.  **Additional Information:**  - SFDC Cx Acct URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R95sVIAR/view",address correction
 **Summary:**  - Customer is unable to see the option for Connected Voice while placing an order through the portal. - This is a duplicate customer issue. - The customer account URL is provided for reference.,address correction
 **Summary:**  - Issue: Unit number missing on shipping label for Polycom equipment (VVX 250) ordered with Connected Voice on Automation order A00406635. - Resolution: Reshipping the VVX 250 to the customer. - Order Number: O-3318185,address correction
 **Function Impacted**: Instant Internet Ordering **Issue Category**: QF: Manage Portal can't sign up at activate.q.com,address correction
 Customer is unable to upgrade internet speed due to an incomplete order (A00372352) blocking the new order (A00390254). Order A00372352 is stuck in "ready to submit" status because it lacks an OP (Order Provisioning). Resolving this issue will allow the customer to proceed with the internet speed upgrade.,address correction
 Function impacted: QF: SOM Work order: A00677465 Case number: 02742659  A00677465 needs to be completed for upgrade so the account bills correctly. There is no Orch plan for it.  URL: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R63TRIAZ/view,address correction
 **Function Impacted**: Cx having issue with the portal/shop function **Issue Category**: QF: Manage Portal **Work Order**: None **Details**: Customer is not able to order connected voice and is having issues with the portal/shop function. **SFDC Cx Acct URL**: https://ctl-fiber.lightning.force.com/lightning/r/Account/001Do00000R7Q4wIAF/view,address correction
 Salesforce agent UI is impacted. OP has multiple frozen steps for A00450286 orchestration. Please investigate.,address correction
 Inability to activate service using the link activate.q.com.,address correction
 **Function Impacted:** Fiber Internet Ordering **Issue Category:** System Performance **Work Order:** N/A **Case Number:** 02621100,address correction
